date,followers_count,following_count,media_count,engagement_rate,average_likes,average_comments,comments_to_likes_ratio,weekly_posts,account,daily_gain,posts_per_day,month,growth_rate
2025-07-21,18719,287,894,32.175,5953.0,69.8,1.173,10.0,overtake,20.0,1.4285714285714286,2025-07,0.10684331427960896
2025-07-22,18747,287,895,26.145,4835.8,65.6,1.357,10.0,overtake,28.0,1.4285714285714286,2025-07,0.14935723049021177
2025-07-23,18760,287,896,27.181,5030.8,68.4,1.36,10.0,overtake,13.0,1.4285714285714286,2025-07,0.06929637526652452
2025-07-24,18782,287,897,27.811,5154.4,69.1,1.341,10.0,overtake,22.0,1.4285714285714286,2025-07,0.11713342562027473
2025-07-25,18814,287,898,23.919,4430.7,69.4,1.566,10.0,overtake,32.0,1.4285714285714286,2025-07,0.17008610609120867
2025-07-26,18843,287,898,23.36,4346.2,55.5,1.277,9.0,overtake,29.0,1.2857142857142858,2025-07,0.15390330626757948
2025-07-27,18846,287,899,24.129,4490.0,57.3,1.276,6.0,overtake,3.0,0.8571428571428571,2025-07,0.01591849729385546
2025-07-28,18868,287,899,24.642,4591.4,58.1,1.265,5.0,overtake,22.0,0.7142857142857143,2025-07,0.1165995336018656
2025-07-29,18878,287,900,16.91,3156.4,35.8,1.134,5.0,overtake,10.0,0.7142857142857143,2025-07,0.05297171310520183
2025-07-30,18895,287,900,17.178,3208.8,37.0,1.153,5.0,overtake,17.0,0.7142857142857143,2025-07,0.0899708917703096
2025-07-31,18911,287,900,17.284,3230.0,38.5,1.192,3.0,overtake,16.0,0.42857142857142855,2025-07,0.08460684257839353
2025-08-01,18911,287,901,17.379,3247.8,38.8,1.195,3.0,overtake,0.0,0.42857142857142855,2025-08,0.0
2025-08-02,18919,287,901,17.82,3331.3,40.0,1.201,3.0,overtake,8.0,0.42857142857142855,2025-08,0.04228553306200117
2025-08-03,18928,287,901,17.45,3261.8,41.1,1.26,3.0,overtake,9.0,0.42857142857142855,2025-08,0.047548605240912936
2025-08-04,18935,287,902,17.664,3303.3,41.3,1.25,2.0,overtake,7.0,0.2857142857142857,2025-08,0.03696857670979667
2025-08-05,18942,288,903,17.88,3344.8,42.1,1.259,3.0,overtake,7.0,0.42857142857142855,2025-08,0.03695491500369549
2025-08-06,18949,289,904,18.183,3401.8,43.7,1.285,3.0,overtake,7.0,0.42857142857142855,2025-08,0.03694126339120798
2025-08-07,18958,289,904,18.575,3477.8,43.6,1.254,4.0,overtake,9.0,0.5714285714285714,2025-08,0.04747336216900517
2025-08-08,18962,289,905,16.783,3152.6,29.8,0.945,4.0,overtake,4.0,0.5714285714285714,2025-08,0.02109482122139015
2025-08-09,18962,288,906,16.925,3179.4,29.9,0.94,4.0,overtake,0.0,0.5714285714285714,2025-08,0.0
2025-08-10,18967,288,906,17.747,3331.3,34.7,1.042,5.0,overtake,5.0,0.7142857142857143,2025-08,0.026361575367743976
2025-08-11,18960,292,907,17.454,3273.5,35.8,1.094,5.0,overtake,-7.0,0.7142857142857143,2025-08,-0.03691983122362869
2025-08-12,18971,292,908,17.798,3339.5,37.0,1.108,5.0,overtake,11.0,0.7142857142857143,2025-08,0.05798323757313795
2025-08-13,18977,293,909,17.185,3212.3,48.9,1.522,5.0,overtake,6.0,0.7142857142857143,2025-08,0.03161722084628761
2025-08-14,18988,292,911,15.802,2954.4,46.0,1.557,5.0,overtake,11.0,0.7142857142857143,2025-08,0.05793132504739836
2025-08-15,19000,290,913,17.006,3181.4,49.8,1.565,7.0,overtake,12.0,1.0,2025-08,0.06315789473684211
2025-08-16,19012,290,917,15.351,2882.4,36.2,1.256,11.0,overtake,12.0,1.5714285714285714,2025-08,0.06311803071744161
2025-08-17,19023,290,920,15.225,2860.0,36.2,1.266,14.0,overtake,11.0,2.0,2025-08,0.05782473847447826
2025-08-18,19045,290,922,13.199,2487.5,26.3,1.057,14.0,overtake,22.0,2.0,2025-08,0.11551588343397218
2025-08-19,19064,290,923,12.605,2387.6,15.5,0.649,15.0,overtake,19.0,2.142857142857143,2025-08,0.09966428871170793
2025-08-20,19100,291,924,13.253,2512.2,19.1,0.76,15.0,overtake,36.0,2.142857142857143,2025-08,0.18848167539267016
2025-08-21,19114,291,924,11.501,2179.6,18.7,0.858,13.0,overtake,14.0,1.8571428571428572,2025-08,0.07324474207387255
2025-08-22,19121,291,926,13.016,2442.0,46.7,1.912,13.0,overtake,7.0,1.8571428571428572,2025-08,0.036608963966319755
2025-08-23,19138,292,929,13.145,2467.3,48.3,1.958,13.0,overtake,17.0,1.8571428571428572,2025-08,0.08882850872609468
2025-08-24,19157,292,930,13.61,2555.8,51.5,2.015,12.0,overtake,19.0,1.7142857142857142,2025-08,0.09918045623009866
2025-08-25,19186,293,933,14.11,2653.3,53.8,2.028,11.0,overtake,29.0,1.5714285714285714,2025-08,0.15115188158031898
2025-08-26,19233,294,934,12.614,2370.7,55.3,2.333,11.0,overtake,47.0,1.5714285714285714,2025-08,0.24437165288826498
2025-08-27,19331,295,936,15.757,2990.0,56.0,1.873,11.0,overtake,98.0,1.5714285714285714,2025-08,0.5069577362785164
2025-08-28,19442,295,937,17.618,3371.8,53.5,1.587,12.0,overtake,111.0,1.7142857142857142,2025-08,0.5709289167781092
2025-08-29,19508,296,938,23.347,4477.5,77.1,1.722,12.0,overtake,66.0,1.7142857142857142,2025-08,0.3383227393889686
